11 -0.4295	-1.1206	0.9306	   12
12 0.4595	0.7076	-2.1857	    9
13 1.3186	1.6057	0.4315	    7
14 0.5516	3.0538	1.0166	    4
15 -0.4225	-1.3926	-2.6178	    3
